Echinogrammus sp.			Echinograptus	Animalia | Hemichordata | Echinograptus	GBIF:4862764	García-Berthou, E. 2002. Ontogenetic diet shifts and interrupted piscivory in introduced largemouth bass (<i>Micropterus salmoides</i>). Internat. Rev. Hydrobiol. 87(4):353-363.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Echinogrammus sp.			Echinograptus	Animalia | Hemichordata | Graptolithina | Echinograptus	IRMNG:1149499	García-Berthou, E. 2002. Ontogenetic diet shifts and interrupted piscivory in introduced largemouth bass (<i>Micropterus salmoides</i>). Internat. Rev. Hydrobiol. 87(4):353-363.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Echinoid						Harmelin-Vivien, M.L. 1989. Implications of feeding specialization on the recruitment processes and community structure of butterflyfishes. Environ. Biol. Fish. 25(1/3):101-110.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
Echinoid pedicellaria						Russell, B.C. 1983. The food and feeding habits of rocky reef fish of north-eastern New Zealand. N.Z. J. Mar. Freshwat. Res. 17(2):121-145.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
echinoids						Goldschmid, A. and K. Kortschal. 1981. Feeding ecology of three populations of <i>Blennius incognitus</i> Bath 1968 (Pisces:Teleostei:Blenniidae) during the reproductive period and under human influence. P.S.Z.N.I: Mar. Ecol. 2(1):1-14.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
echinoids						Hobson, E.S. 1974. Feeding relationships of teleostean fishes on coral reefs in Kona, Hawaii. Fish. Bull. 72(4):915-1031.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
echinoids						Randall, J.E. 1967. Food habits of reef fishes of the West Indies. Stud. Trop. Oceanogr. Miami 5:665-847.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
echinoids						Sala, E. and E. Ballesteros. 1997. Partitioning of space and food resources by three fish genus <i>Diplodus</i> (Sparidae) in a Mediterranean rocky infralittoral ecosystem. Mar. Ecol. Prog. Ser. 152:273-283.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
echinoids						Sano, M. and J.T. Moyer. 1985. Bathymetric distribution and feeding habits of two sympatric cheilodactylid fishes at Miyake-jima, Japan. Jap. J. Ichthyol. 32(2):239-247.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
echinoids						Sano, M., M. Shimizu and Y. Nose. 1984. Food habits of teleostean reef fishes in Okinawa Island, southern Japan. University of Tokyo Bulletin, no. 25. v,128p. University of Tokyo Press, Tokyo, Japan. 128 p.	Froese, R. and D. Pauly. Editors. 2016. FishBase. World Wide Web electronic publication. www.fishbase.org, version (10/2016). Accessed at <https://github.com/globalbioticinteractions/fishbase/archive/7e67537c10ab6def64e0e7aa7953af28f6198d2a.zip> on 24 Apr 2017.
